#{"t_start": 1737285621.7494597, "env_id": "FlappyBird-v0"}
r,l,t
7.86,38,1.678571
2.68,60,1.801694
17.92,98,2.299765
-2.97,47,2.380746
9.98,68,2.704852
5.56,82,3.076806
-2.42,44,3.142441
22.08,95,3.274103
12.28,72,3.696486
5.16,51,3.800251
9.24,73,3.909292
-2.96,48,3.979435
-0.64,47,4.222564
5.68,55,4.305627
12.65,98,4.803916
16.21,98,5.428961
7.04,55,5.546608
1.69,38,5.643665
21.89,98,6.389577
4.96,81,6.666043
15.84,98,6.869252
6.72,101,7.427554
6.6,80,8.10157
10.11,84,8.531915
10.03,73,8.694371
1.11,38,9.03446
5.77,58,9.248176
-3.0,44,9.641169
21.07,98,10.400184
